rack1,,,,,,Cable Lengths,,,,,,,,,,
,Front Mounted,Rear Mounted,Order Number,PS 1 ,PS 2,Card Installs,IB Route,IB Length,CAT6 Route,CAT6 Length,25GbE SFP28 Route,25GbE SFP28 Length,100GbE MPO Route,100GbE MPO Length,QSFP112 Route,QSFP112 Length
OU7,XE8712 COMPUTE,,,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2M,,,(1) SFP28 to OU03,(1) 1M,,,,
OU6,XE8712 COMPUTE,,,,,,,,,,(1) SFP28 to OU03,(1) 1M,,,,
OU5,XE8712 COMPUTE,,,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2M,,,(1) SFP28 to OU03,(1) 1M,,,,
OU4,XE8712 COMPUTE,,,,,,,,,,(1) SFP28 to OU03,(1) 1M,,,,
OU3,S5248F 25GbE,,,C13 - to R2 B5,C13 - to R2 B5,(2) 407-BBWV transceiver,,,(1) CAT6 to R2 U24,(1) 25ft,,,"(1) R2 U42, (1) R3 U42",(2) 10M,,
OU2,XE8712 COMPUTE,,,,,,"(1) NDR 2:1 to OU26
(1) NDR 2:1 to OU25",(2) 2.5M,,,(1) SFP28 to OU03,(1) 1M,,,,
OU1,XE8712 COMPUTE,,,,,,,,,,(1) SFP28 to OU03,(1) 1M,,,,
Rack Model,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,
Zero OU Space in Rear,,,,,,,,,,,,,,,,
PDOU Type and Location Looking from Rear,,,,,Whip Location,Connector,Notes,,MGMT Cable Route,MGMT Cable Length,,,,,,
R1,,,,,,,,,,,R1 and L1 are the vertical mount closest to the equipment.,,,,,
R2,,,,,,,,,,,,,,,,
R3,,,,,,,,,,,,,,,,
R4,,,,,,,,,,,,,,,,
L1,,,,,,,,,,,,,,,,
L2,,,,,,,,,,,,,,,,
L3,,,,,,,,,,,,,,,,
L4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Color Codes,,,,Inter-Rack Cables will go out the TOP of the Rack,,,"Ship rack with IB rack-to-rack cables bundled in top of rack. 
See IB label tab - ISLs should be bundled following the color coding on the cable labels. Insure that all cable ends are at the same length. Coil any excess half way through the bundle or inside the rack if needed.",,,,,,,,
,Head Node,,1G Ethernet Switch,,,,,,,,,,,,,
,Login Node,,10G Ethernet Switch,,,,,,,,,,,,,
,Compute Node,,Infiniband Switch,,,,,,,,,,,,,
,GPU Node,,,,,,,,,,,,,,,
,Big Mem Node,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,PDU 1,,,,,,,,,,,,,,,
,PDU 2,,,,,,,,,,,,,,,
,PDU 3,,,,,,,,,,,,,,,
,PDU 4,,,,,1,,,,,,,,,,
,,,,,,2,,,,,,,,,,
,,,,,,3,,,,,,,,,,
,,,,,,4,,,,,,,,,,
