NodeName,NodePurpose,Node Instance,xName,Rack Number,uPos,Cluster Admin IPv6,Cluster Admin Network,"iDrac Network (iDrac)",iDrac Network (Local),InfiniBand (Public),InfiniBand ib0 (Private),InfiniBand ib0 #2(Private),InfiniBand ib1 (Private),InfiniBand ib1 #2(Private),Switch Management Network,Cluster Admin Network #2,Cluster Admin Network #3,Cluster Admin Network #4,Switch Management Network #2,PowerScale Admin Network #1,PowerScale Admin Network #2,PowerScale Admin Network #3,PowerScale Admin Network #4,PowerScale Storage Network #1,PowerScale Storage Network #2,PowerScale Storage Network #3,PowerScale Storage Network #4,"Side Door
Network",Notes,
cech-vastDns1,vastDns,1, ,x7002,16,,10.40.2.39,,,,,,,,,,,,,,,,,,,,,,,
cech-border2,border,2,x7002c0s45w0,x7002,45,,,,,,,,,,10.43.2.40,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cech-mgt1,mgt,1,x7001c0s28b0n0,x7001,28,,10.40.1.16,10.41.1.16,10.41.1.116,128.55.134.41,10.45.1.16,,10.45.1.116,,,,,,,10.46.1.16,,,,,,,,,,
cech-svc1,svc,1,x7001c0s29b0n0,x7001,29,,10.40.1.17,10.41.1.17,10.41.1.117,128.55.134.42,10.45.1.17,,10.45.1.117,,,,,,,,,,,,,,,,,
cech-slurm1,slurm,1,x7001c0s30b0n0,x7001,30,,10.40.1.18,10.41.1.18,,128.55.134.43,10.45.1.18,,10.45.1.118,,,,,,,,,,,,,,,,,
cech-ome1,ome,1,x7001c0s31b0n0,x7001,31,,10.40.1.19,10.41.1.19,10.41.1.119,128.55.134.44,10.45.1.19,,10.45.1.119,,,,,,,,,,,,,,,,,
cech-ufm1,ufm,1,x7001c0s32b0n0,x7001,32,,10.40.1.20,10.41.1.20,,128.55.134.45,10.45.1.20,,10.45.1.120,,,,,,,,,,,,,,,,,
cech-sfm1,sfm,1,x7001c0s33b0n0,x7001,33,,10.40.1.21,10.41.1.21,,128.55.134.46,10.45.1.21,,10.45.1.121,,10.43.1.21,,,,10.43.1.71,,,,,,,,,,,
cech-wen1,wen,1,x7001c0s34b0n0,x7001,34,,10.40.1.22,10.41.1.22,,128.55.134.47,10.45.1.22,,10.45.1.122,,,,,, ,,,,,,,,,,,
cech-pscale1,pscale,1,x7001c0s34b0n0,x7001,34,,10.40.1.23, , , , ,, ,, ,10.40.1.73,10.40.1.138,10.40.1.203,,10.46.1.23,10.46.1.73,10.46.1.138,10.46.1.203,10.44.1.23,10.44.1.73,10.44.1.138,10.44.1.203,,,
cech-ethMgmt1,ethMgmt,1,x7001c0s24w0,x7001,24,,,,,,,,,,10.43.1.24,,,,,,,,,,,,,,,
cech-ethLeaf2,ethLeaf,2,x7001c0s22w0,x7001,22,,,,,,,,,,10.43.1.25,,,,,,,,,,,,,,,
cech-ethSpine1,ethSpine,1,x7001c0s42w0,x7001,42,,,,,,,,,,10.43.1.26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cech-ethLeaf1,ethLeaf,1,x7000c0s22w0,x7000,22,,,,,,,,,,10.43.0.16,,,,,,,,,,,,,,,
nid0001,compute, ,x7000c0s1b0n0,x7000,1,,10.40.0.17,10.41.0.17,,128.55.134.53,10.45.0.17,,10.45.0.117,,,,,,,,,,,,,,,,,nid1
nid0002,compute, ,x7000c0s2b0n0,x7000,2,,10.40.0.18,10.41.0.18,,128.55.134.54,10.45.0.18,,10.45.0.118,,,,,,,,,,,,,,,,,
nid0003,compute, ,x7000c0s4b0n0,x7000,4,,10.40.0.19,10.41.0.19,,128.55.134.55,10.45.0.19,,10.45.0.119,,,,,,,,,,,,,,,,,
nid0004,compute, ,x7000c0s5b0n0,x7000,5,,10.40.0.20,10.41.0.20,,128.55.134.56,10.45.0.20,,10.45.0.120,,,,,,,,,,,,,,,,,
nid0005,compute, ,x7000c0s6b0n0,x7000,6,,10.40.0.21,10.41.0.21,,128.55.134.57,10.45.0.21,,10.45.0.121,,,,,,,,,,,,,,,,,
nid0006,compute, ,x7000c0s7b0n0,x7000,7,,10.40.0.22,10.41.0.22,,128.55.134.58,10.45.0.22,,10.45.0.122,,,,,,,,,,,,,,,,,
nid0007,compute, ,x7000c0s11b0n0,x7000,11,,10.40.0.23,10.41.0.23,,128.55.134.59,10.45.0.23,,10.45.0.123,,,,,,,,,,,,,,,,,
nid0008,compute, ,x7000c0s12b0n0,x7000,12,,10.40.0.24,10.41.0.24,,128.55.134.60,10.45.0.24,,10.45.0.124,,,,,,,,,,,,,,,,,
nid0009,compute, ,x7000c0s13b0n0,x7000,13,,10.40.0.25,10.41.0.25,,128.55.134.61,10.45.0.25,,10.45.0.125,,,,,,,,,,,,,,,,,
nid0010,compute, ,x7000c0s14b0n0,x7000,14,,10.40.0.26,10.41.0.26,,128.55.134.62,10.45.0.26,,10.45.0.126,,,,,,,,,,,,,,,,,
nid0011,compute, ,x7000c0s15b0n0,x7000,15,,10.40.0.27,10.41.0.27,,128.55.134.63,10.45.0.27,,10.45.0.127,,,,,,,,,,,,,,,,,
nid0012,compute, ,x7000c0s16b0n0,x7000,16,,10.40.0.28,10.41.0.28,,128.55.134.64,10.45.0.28,,10.45.0.128,,,,,,,,,,,,,,,,,
nid0013,compute, ,x7000c0s17b0n0,x7000,17,,10.40.0.29,10.41.0.29,,128.55.134.65,10.45.0.29,,10.45.0.129,,,,,,,,,,,,,,,,,
nid0014,compute, ,x7000c0s18b0n0,x7000,18,,10.40.0.30,10.41.0.30,,128.55.134.66,10.45.0.30,,10.45.0.130,,,,,,,,,,,,,,,,,
nid0015,compute, ,x7000c0s19b0n0,x7000,19,,10.40.0.31,10.41.0.31,,128.55.134.67,10.45.0.31,,10.45.0.131,,,,,,,,,,,,,,,,,
nid0016,compute, ,x7000c0s20b0n0,x7000,20,,10.40.0.32,10.41.0.32,,128.55.134.68,10.45.0.32,,10.45.0.132,,,,,,,,,,,,,,,,,
nid0017,compute, ,x7000c0s21b0n0,x7000,21,,10.40.0.33,10.41.0.33,,128.55.134.69,10.45.0.33,,10.45.0.133,,,,,,,,,,,,,,,,,
nid0018,compute, ,x7000c0s27b0n0,x7000,27,,10.40.0.34,10.41.0.34,,128.55.134.70,10.45.0.34,,10.45.0.134,,,,,,,,,,,,,,,,,
nid0019,compute, ,x7000c0s28b0n0,x7000,28,,10.40.0.35,10.41.0.35,,128.55.134.71,10.45.0.35,,10.45.0.135,,,,,,,,,,,,,,,,,
nid0020,compute, ,x7000c0s29b0n0,x7000,29,,10.40.0.36,10.41.0.36,,128.55.134.72,10.45.0.36,,10.45.0.136,,,,,,,,,,,,,,,,,
nid0021,compute, ,x7000c0s30b0n0,x7000,30,,10.40.0.37,10.41.0.37,,128.55.134.73,10.45.0.37,,10.45.0.137,,,,,,,,,,,,,,,,,
nid0022,compute, ,x7000c0s31b0n0,x7000,31,,10.40.0.38,10.41.0.38,,128.55.134.74,10.45.0.38,,10.45.0.138,,,,,,,,,,,,,,,,,
nid0023,compute, ,x7000c0s32b0n0,x7000,32,,10.40.0.39,10.41.0.39,,128.55.134.75,10.45.0.39,,10.45.0.139,,,,,,,,,,,,,,,,,
nid0024,compute, ,x7000c0s33b0n0,x7000,33,,10.40.0.40,10.41.0.40,,128.55.134.76,10.45.0.40,,10.45.0.140,,,,,,,,,,,,,,,,,
nid0025,compute, ,x7000c0s34b0n0,x7000,34,,10.40.0.41,10.41.0.41,,128.55.134.77,10.45.0.41,,10.45.0.141,,,,,,,,,,,,,,,,,
nid0026,compute, ,x7000c0s35b0n0,x7000,35,,10.40.0.42,10.41.0.42,,128.55.134.78,10.45.0.42,,10.45.0.142,,,,,,,,,,,,,,,,,
nid0027,compute, ,x7000c0s36b0n0,x7000,36,,10.40.0.43,10.41.0.43,,128.55.134.79,10.45.0.43,,10.45.0.143,,,,,,,,,,,,,,,,,
nid0028,compute, ,x7000c0s37b0n0,x7000,37,,10.40.0.44,10.41.0.44,,128.55.134.80,10.45.0.44,,10.45.0.144,,,,,,,,,,,,,,,,,
nid0029,compute, ,x7000c0s43b0n0,x7000,43,,10.40.0.45,10.41.0.45,,128.55.134.81,10.45.0.45,,10.45.0.145,,,,,,,,,,,,,,,,,
nid0030,compute, ,x7000c0s44b0n0,x7000,44,,10.40.0.46,10.41.0.46,,128.55.134.82,10.45.0.46,,10.45.0.146,,,,,,,,,,,,,,,,,
nid0031,compute, ,x7000c0s45b0n0,x7000,45,,10.40.0.47,10.41.0.47,,128.55.134.83,10.45.0.47,,10.45.0.147,,,,,,,,,,,,,,,,,
nid0032,compute, ,x7000c0s46b0n0,x7000,46,,10.40.0.48,10.41.0.48,,128.55.134.84,10.45.0.48,,10.45.0.148,,,,,,,,,,,,,,,,,
nid0033,compute, ,x7000c0s47b0n0,x7000,47,,10.40.0.49,10.41.0.49,,128.55.134.85,10.45.0.49,,10.45.0.149,,,,,,,,,,,,,,,,,
nid0034,compute, ,x7000c0s48b0n0,x7000,48,,10.40.0.50,10.41.0.50,,128.55.134.86,10.45.0.50,,10.45.0.150,,,,,,,,,,,,,,,,,
cech-ethLeaf2,ethLeaf,2,x7002c0s22w0,x7002,22,,,,,,,,,,10.43.2.41,,,,,,,,,,,,,,,
